merchant_id,merchant_name,merchant_category,live_created_date
112427,The White Company,DIGITAL GOODS AND STATIONERY,2021-06-18
112842,Barneys New York,FINANCIAL SERVICES,2021-06-24
112912,Silver Pennies,DIGITAL GOODS AND STATIONERY,2021-06-25
113882,L.L.Bean,DIGITAL GOODS AND STATIONERY,2021-07-12
114365,RobbinRyte,INFORMATION TECHNOLOGY,2021-07-20
114375,Fashion Factory,INFORMATION TECHNOLOGY,2021-07-20
114454,Hopscotch Toy Shop,TRAVEL AND ACCOMMODATION,2021-07-21
114573,Pinnacle Peak General Store,FOOD AND BEVERAGE,2021-07-23
114957,DudeSure,FINANCIAL SERVICES,2021-07-30
114962,Abundance Sold Here,MARKETPLACES,2021-07-30
115975,BelleFelle,FINANCIAL SERVICES,2021-08-17
116005,Brown Wave Grocery,DIGITAL GOODS AND STATIONERY,2021-08-17
116153,Big Inspire,"HOME, FURNISHINGS AND ELECTRONICS",2021-08-19
116416,Online Boutique,EDUCATION SERVICES,2021-08-25
116785,Puire Label,CLOTHING OUTLETS,2021-08-31
116982,Still House,AMUSEMENT AND ENTERTAINMENT,2021-09-03
117733,Blossom Gift Baskets,OTHER SERVICES,2021-09-17
118255,Widehaven,FOOD AND BEVERAGE,2021-09-27
120530,FlyingDude,ARTS AND HOBBIES,2021-10-21
120531,BigMart,CLOTHING OUTLETS,2021-10-21
120724,Stanford General Store,OTHER SERVICES,2021-10-25
120772,FreshVille General Store,TRANSPORTATION,2021-10-26
121347,Primose Beauty Products,OTHER SERVICES,2021-11-05
121562,Bunny Trails,OTHER SERVICES,2021-11-09
121658,Spice Heaven,MEDICAL CARE AND EQUIPMENT,2021-11-11
122295,GrandMark,OTHER SERVICES,2021-11-22
122431,Sensy Gifts,FOOD AND BEVERAGE,2021-11-24
122554,RedChic Women Fashion Store,CLOTHING OUTLETS,2021-11-26
123394,Black River Gift Baskets,PROFESSIONAL SERVICES,2021-12-14
123397,BeMacho Fashion,OTHER SERVICES,2021-12-14
123446,Corner Joy,OTHER SERVICES,2021-12-15
123449,SuperGreat,OTHER SERVICES,2021-12-15
123815,Shields General Store,OTHER SERVICES,2021-12-22
123816,Arabellen,DIGITAL GOODS AND STATIONERY,2021-12-22
124388,Holdger,GENERAL GOODS STORES,2022-01-06
124664,Forte Fusion,CLOTHING OUTLETS,2022-01-12
125029,Serenity Gift Shop,OTHER SERVICES,2022-01-19
125033,Ready Online,OTHER SERVICES,2022-01-19
125034,Front Gourmet,OTHER SERVICES,2022-01-19
125035,Fusion Mart General Store,OTHER SERVICES,2022-01-19
125074,Loveland Gifts,CHARITY AND NGOs,2022-01-19
125075,Willow Tree Gifts,OTHER SERVICES,2022-01-19
125445,Lazy B General Store,OTHER SERVICES,2022-01-27
126058,Guilded Cage,INFORMATION TECHNOLOGY,2022-02-07
126207,Just Flirt,OTHER SERVICES,2022-02-09
126208,Moonpie General Store,OTHER SERVICES,2022-02-09
126209,North Vertical,OTHER SERVICES,2022-02-09
126504,Creating Commerce,OTHER SERVICES,2022-02-14
127051,The Clean Wraith,OTHER SERVICES,2022-02-24
127053,Sale Connection,OTHER SERVICES,2022-02-24
127055,Bark & Beauty,OTHER SERVICES,2022-02-24
127056,Store Rule,OTHER SERVICES,2022-02-24
127058,Nirvana Elegance,OTHER SERVICES,2022-02-24
127059,Cake It Easy,OTHER SERVICES,2022-02-24
128419,Real Diva,OTHER SERVICES,2022-03-21
128420,Pane in the Glass,OTHER SERVICES,2022-03-21
128421,Axial Store,OTHER SERVICES,2022-03-21
128641,Apple Grand Central,INFORMATION TECHNOLOGY,2022-03-25
128870,Store Directory,OTHER SERVICES,2022-03-29
128977,Visionstore,PROFESSIONAL SERVICES,2022-03-30
129717,FashionFiesta,OTHER SERVICES,2022-04-13
129921,Anytime Buys,OTHER SERVICES,2022-04-18
129922,The Earnest Pen Garden Center,OTHER SERVICES,2022-04-18
129974,Nondescript Things,OTHER SERVICES,2022-04-19
130431,The Angelic Growth,TRAVEL AND ACCOMMODATION,2022-04-27
130558,Pixel Store,OTHER SERVICES,2022-04-29
130569,Renew Store,OTHER SERVICES,2022-04-29
130909,Best Of The Earth,OTHER SERVICES,2022-05-09
130937,Primose Beauty Products,OTHER SERVICES,2022-05-10
130938,Glow Inc,OTHER SERVICES,2022-05-10
130939,Eclipse Spa,OTHER SERVICES,2022-05-10
131396,The Everything Shop,OTHER SERVICES,2022-05-20
131543,Store Junky,OTHER SERVICES,2022-05-23
132843,Dream Store,OTHER SERVICES,2022-06-17
133053,Happiness Store,OTHER SERVICES,2022-06-22
133166,The Fantastic Face,PERSONAL CARE,2022-06-24
133665,Crafty Commerce,OTHER SERVICES,2022-07-05
